"","CommonName","Analy","SampleID","Station","sitetype","site","Region2","Date","month","season","atotal","Dilution","Volume","totCount","totcells","totCountall","CPUE","ZooCode","FishCode","Phylum","Class","Order","Family","Genus","Species","LifeStage","fishDiet","Analy2","CN"
"18","Acanthocyclops","Cyclopoida","ZOOP3-WI-27MAR2019","Winter 2","tidal","Winter","Confluence","2019-03-27",3,"Spring",1,NA,0.710835757691183,NA,NA,NA,1.40679473307312,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"19","Acanthocyclops","Cyclopoida","ZOOP1CS-9MAY2018","LinBR","tidal","Lindsey","Cache Slough","2018-05-09",5,"Spring",16,80,3.49704199021112,1,5,993,4.57529536241973,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"20","Acanthocyclops","Cyclopoida","ZOOP4-BI-28MAR2019","Browns Channel","tidal","Browns","Confluence","2019-03-28",3,"Spring",12,10,1.91340789712696,12,10,563,6.2715325979465,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"21","Acanthocyclops","Cyclopoida","ZOOP1-WI-15MAY2019","Winter 2","tidal","Winter","Confluence","2019-05-15",5,"Spring",60,300,2.77585862338899,1,5,875,21.6149336621284,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"22","Acanthocyclops","Cyclopoida","ZOOP3-ND-08APR2019","609 FRP","channel","L Honker","Nurse-Denverton","2019-04-08",4,"Spring",24.3055555555556,NA,2.54776132645897,NA,NA,NA,9.5399656565699,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"23","Acanthocyclops","Cyclopoida","ZOOP5-13APR2018","705 FRP","channel","Horseshoe","Sac-San Joaquin","2018-04-13",4,"Spring",20,NA,2.52706610819707,NA,NA,NA,7.91431610559209,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"24","Acanthocyclops","Cyclopoida","ZOOP2-BR-02APR2019","329 East Bradmoor","diked","Bradmoor","Nurse-Denverton","2019-04-02",4,"Spring",6400,NA,0.394558835123524,NA,NA,NA,16220.6480511236,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"25","Acanthocyclops","Cyclopoida","ZOOP2-12APR2018","Wings 1","diked","Wings","North Suisun","2018-04-12",4,"Spring",240,20,3.05929313436712,84,7,1130,78.4494945266659,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"26","Acanthocyclops","Cyclopoida","ZOOP2-DECK-17DEC2019","Decker Inside","tidal","Decker","Sac-San Joaquin","2019-12-17",12,"Winter",5.14285714285714,60,9.42572902441865,3,35,92,0.545619031645601,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"27","Acanthocyclops","Cyclopoida","ZOOP1-609-10APR2018","609 FRP","channel","L Honker","Nurse-Denverton","2018-04-10",4,"Spring",6.66666666666667,15,3.41606070136022,4,9,1073,1.95156563348307,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"28","Acanthocyclops","Cyclopoida","ZOOP2-LIBE-16DEC2019","SWLiberty","tidal","Liberty","Cache Slough","2019-12-16",12,"Winter",60,30,3.56137712524266,10,5,810,16.8474154491324,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"29","Acanthocyclops","Cyclopoida","ZOOP2-6JUN2018","723 FRP","tidal","Liberty","Cache Slough","2018-06-06",6,"Summer",10,30,1.71545363549144,2,6,442,5.82936186272106,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"30","Acanthocyclops","Cyclopoida","ZOOP4-26MAR2018","Bradmoor","diked","Bradmoor","Nurse-Denverton","2018-03-26",3,"Spring",8300,NA,0.622656132053543,NA,NA,NA,13329.9899779776,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"31","Acanthocyclops","Cyclopoida","ZOOP3-LI-25APR2019","SWLiberty","tidal","Liberty","Cache Slough","2019-04-25",4,"Spring",12,30,2.731318914521,2,5,501,4.39348182162187,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"32","Acanthocyclops","Cyclopoida","ZOOP1-23JAN2018","Decker Breach","tidal","Decker","Sac-San Joaquin","2018-01-23",1,"Winter",24,30,0.446746776827433,4,5,1114,53.7217082357834,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"33","Acanthocyclops","Cyclopoida","ZOOP2-WL-22FEB2019","Breach 2 Inside","diked","Wings","North Suisun","2019-02-22",2,"Winter",78.75,70,0.296931392453279,9,8,421,265.212779791854,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"34","Acanthocyclops","Cyclopoida","ZOOP1-TR-19MAR2019","TR7","tidal","Tule Red","Suisun Bay","2019-03-19",3,"Spring",16800,900,9.42572902441865,112,6,689,1782.35550337563,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"35","Acanthocyclops","Cyclopoida","ZOOP2-BROW-03DEC2019","Browns Channel","tidal","Browns","Confluence","2019-12-03",12,"Winter",9,15,2.67058294788282,3,5,462,3.3700507251179,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"36","Acanthocyclops","Cyclopoida","ZOOP1-01NOV2018","Ryer1","tidal","Ryer","Suisun Bay","2018-11-01",11,"Fall",2,NA,4.40313263324279,NA,NA,NA,0.45422206564944,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"37","Acanthocyclops","Cyclopoida","ZOOP1-DI-04APR2019","Horsebend1","channel","Horseshoe","Sac-San Joaquin","2019-04-04",4,"Spring",192,30,2.50592099388601,32,5,477,76.618536844715,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"38","Acanthocyclops","Cyclopoida","ZOOP1-02MAR2018","724 FRP","channel","Miner","Cache Slough","2018-03-02",3,"Spring",4,20,1.48960581880728,3,15,423,2.68527415071645,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"39","Acanthocyclops","Cyclopoida","ZOOP1-10DEC2018","Decker Breach","tidal","Decker","Sac-San Joaquin","2018-12-10",12,"Winter",1.07142857142857,15,1.94400082847063,1,14,362,0.551146149598855,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"40","Acanthocyclops","Cyclopoida","ZOOP1-DI-10APR2019","Decker Inside","tidal","Decker","Sac-San Joaquin","2019-04-10",4,"Spring",52.5,NA,1.85087234629211,NA,NA,NA,28.3650031862945,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"41","Acanthocyclops","Cyclopoida","ZOOP1-WL-22FEB2019","Wings Brood Pond","diked","Wings","North Suisun","2019-02-22",2,"Winter",14,10,0.881796256376404,14,10,89,15.876683416111,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"42","Acanthocyclops","Cyclopoida","ZOOP4-WI-28MAR2019","Winter 3","tidal","Winter","Confluence","2019-03-28",3,"Spring",2.14285714285714,15,3.09303533805499,1,7,473,0.692800730884842,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"43","Acanthocyclops","Cyclopoida","ZOOP2-13APR2018","Decker Breach","tidal","Decker","Sac-San Joaquin","2018-04-13",4,"Spring",44.6428571428571,NA,1.87741621319323,NA,NA,NA,23.7788812247049,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"44","Acanthocyclops","Cyclopoida","ZOOP2-23MAR2018","SWLiberty","tidal","Liberty","Cache Slough","2018-03-23",3,"Spring",25,NA,1.72805072486825,NA,NA,NA,14.4671679136653,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"45","Acanthocyclops","Cyclopoida","ZOOP2-WING-21NOV2019","Wings Brood Pond","diked","Wings","North Suisun","2019-11-21",11,"Fall",396,60,3.83761329943405,33,5,763,103.189135825228,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"46","Acanthocyclops","Cyclopoida","ZOOP6-15MAR2018","602FRP","channel","Grizzly","Suisun Bay","2018-03-15",3,"Spring",5,15,2.37725072382292,2,6,1385,2.10326994535914,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"47","Acanthocyclops","Cyclopoida","ZOOP4-10APR2018","609 FRP","channel","L Honker","Nurse-Denverton","2018-04-10",4,"Spring",18.75,15,3.5226860650139,5,4,277,5.32264290770004,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"48","Acanthocyclops","Cyclopoida","ZOOP2-19SEP2018","Wings 1","diked","Wings","North Suisun","2018-09-19",9,"Fall",30,30,2.68138045306294,6,6,1520,11.1882668368567,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"49","Acanthocyclops","Cyclopoida","ZOOP1-STAC-17DEC2019","STACYS","tidal","WTIB","Sac-San Joaquin","2019-12-17",12,"Winter",21.4285714285714,50,2.23688315648137,3,7,434,9.57965612396076,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"50","Acanthocyclops","Cyclopoida","ZOOP4S-13MAR2018","Stacys Island","tidal","WTIB","Sac-San Joaquin","2018-03-13",3,"Spring",2.85714285714286,40,1.90396008009436,1,14,499,1.50063170284603,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"51","Acanthocyclops","Cyclopoida","ZOOP3-6JUN2018","724 FRP","channel","Miner","Cache Slough","2018-06-06",6,"Summer",11.25,15,1.57013721160901,6,8,534,7.16497890555149,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"52","Acanthocyclops","Cyclopoida","ZOOP4P-29MAR2018","SoPro1","muted","Prospect","Cache Slough","2018-03-29",3,"Spring",49.2307692307692,80,1.3307925134497,8,13,506,36.9935724263676,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"53","Acanthocyclops","Cyclopoida","ZOOP2-SJ-22MAR2019","STACYS","tidal","WTIB","Sac-San Joaquin","2019-03-22",3,"Spring",21,60,0.565519333808745,7,20,199,37.1340089446032,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"54","Acanthocyclops","Cyclopoida","ZOOP2-11MAY2018","Wings 1","diked","Wings","North Suisun","2018-05-11",5,"Spring",575,25,2.63459126394909,138,6,1924,218.250173325979,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"55","Acanthocyclops","Cyclopoida","ZOOP2-D-10MAY2018","Decker Inside","tidal","Decker","Sac-San Joaquin","2018-05-10",5,"Spring",9.52380952380952,40,0.192105612996288,5,21,550,49.5759044999562,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"56","Acanthocyclops","Cyclopoida","ZOOP3-12MAR2018","TR1","tidal","Tule Red","Suisun Bay","2018-03-12",3,"Spring",1.5,30,0.417953429680449,1,20,418,3.58891659567632,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"57","Acanthocyclops","Cyclopoida","ZOOP2-ND-27MAR2019","609 FRP","channel","L Honker","Nurse-Denverton","2019-03-27",3,"Spring",9,NA,2.43348772996937,NA,NA,NA,3.69839547130705,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"58","Acanthocyclops","Cyclopoida","ZOOP3-PI-26MAR2019","ProBr","muted","Prospect","Cache Slough","2019-03-26",3,"Spring",7.5,15,2.13070768887686,3,6,433,3.51995726075096,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"59","Acanthocyclops","Cyclopoida","ZOOP3-WL-22FEB2019","Breach 5 Inside","diked","Wings","North Suisun","2019-02-22",2,"Winter",37333.3333333333,1400,0.781919333460301,160,6,727,47745.7606376333,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"60","Acanthocyclops","Cyclopoida","ZOOP3-BK-26APR2019","Blacklock","tidal","Blacklock","Nurse-Denverton","2019-04-26",4,"Spring",88,40,1.90036091170099,11,5,483,46.3069932969902,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"61","Acanthocyclops","Cyclopoida","ZOOP4-D-10MAY2018","Decker Breach","tidal","Decker","Sac-San Joaquin","2018-05-10",5,"Spring",13.3333333333333,40,1.19492390659986,2,6,564,11.158311637829,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"62","Acanthocyclops","Cyclopoida","ZOOP1-YF-12JUN2019","Flyway Channel","tidal","Flyway","Cache Slough","2019-06-12",6,"Summer",27.2727272727273,40,2.18694469502332,15,22,272,12.4706982004574,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"63","Acanthocyclops","Cyclopoida","ZOOP1-22MAR2018","Browns Channel","tidal","Browns","Confluence","2018-03-22",3,"Spring",2.77777777777778,NA,3.28694053524796,NA,NA,NA,0.845095233086785,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"64","Acanthocyclops","Cyclopoida","ZOOP1S-10APR2018","Stacys Island","tidal","WTIB","Sac-San Joaquin","2018-04-10",4,"Spring",37.5,30,1.97054469537176,10,8,710,19.0302712179412,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"65","Acanthocyclops","Cyclopoida","ZOOP3-LS-22MAR2019","LookoutSlough","diked","Lookout","Cache Slough","2019-03-22",3,"Spring",85.7142857142857,300,9.42572902441865,4,14,464,9.09365052742669,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"66","Acanthocyclops","Cyclopoida","ZOOP1-LS-03APR2019","LookoutSouthPond","diked","Lookout","Cache Slough","2019-04-03",4,"Spring",1600,400,9.42572902441865,24,6,665,169.748143178632,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"67","Acanthocyclops","Cyclopoida","ZOOP3-YF-23MAY2019","Flyway Channel","tidal","Flyway","Cache Slough","2019-05-23",5,"Spring",2460,300,1.94310103637229,41,5,841,1266.01754306752,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"68","Acanthocyclops","Cyclopoida","ZOOP1S-13MAR2018","Stacys Island","tidal","WTIB","Sac-San Joaquin","2018-03-13",3,"Spring",5.71428571428571,NA,1.54449313680622,NA,NA,NA,3.69978058050941,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"69","Acanthocyclops","Cyclopoida","ZOOP3-RI-11APR2019","RyerChannel","tidal","Ryer","Suisun Bay","2019-04-11",4,"Spring",2.56410256410256,NA,2.06457296964863,NA,NA,NA,1.24195298582203,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"70","Acanthocyclops","Cyclopoida","ZOOP1-11APR2018","ProBr","muted","Prospect","Cache Slough","2018-04-11",4,"Spring",10,NA,2.45913180477216,NA,NA,NA,4.06647581093219,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"71","Acanthocyclops","Cyclopoida","ZOOP5-TR-19MAR2019","TR5","tidal","Tule Red","Suisun Bay","2019-03-19",3,"Spring",3150,150,9.42572902441865,105,5,502,334.191656882931,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"72","Acanthocyclops","Cyclopoida","ZOOP3-DI-18MAR2019","Decker Breach","tidal","Decker","Sac-San Joaquin","2019-03-18",3,"Spring",30,150,1.71230436314724,7,35,156,17.5202496972323,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"73","Acanthocyclops","Cyclopoida","ZOOP4-13APR2018","Decker Breach","tidal","Decker","Sac-San Joaquin","2018-04-13",4,"Spring",1,NA,2.41909105639588,NA,NA,NA,0.413378403990243,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"74","Acanthocyclops","Cyclopoida","ZOOP5-26MAR2018","Bradmoor","diked","Bradmoor","Nurse-Denverton","2018-03-26",3,"Spring",4700,NA,0.324375051452749,NA,NA,NA,14489.4003991692,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"75","Acanthocyclops","Cyclopoida","ZOOP3-11APR2018","720 FRP","tidal","Lindsey","Cache Slough","2018-04-11",4,"Spring",30,40,3.41291142901602,9,12,678,8.79014900443793,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"76","Acanthocyclops","Cyclopoida","ZOOP1-AR-30APR2019","Arnold Restoration","diked","Arnold","Nurse-Denverton","2019-04-30",4,"Spring",2400,300,1.21201995646838,48,6,593,1980.16541492699,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"77","Acanthocyclops","Cyclopoida","ZOOP4-WL-22FEB2019","Breach 1 Inside","diked","Wings","North Suisun","2019-02-22",2,"Winter",8800,NA,0.328424115895294,NA,NA,NA,26794.6218748612,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"78","Acanthocyclops","Cyclopoida","ZOOP4-LI-25APR2019","SWLiberty","tidal","Liberty","Cache Slough","2019-04-25",4,"Spring",16.6666666666667,NA,2.79745363374923,NA,NA,NA,5.9577990732699,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"79","Acanthocyclops","Cyclopoida","ZOOP6-12MAR2018","TR5","tidal","Tule Red","Suisun Bay","2018-03-12",3,"Spring",2,40,0.455744697810866,1,20,NA,4.38842187217283,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
"80","Acanthocyclops","Cyclopoida","ZOOP5-15MAR2018","602FRP","channel","Grizzly","Suisun Bay","2018-03-15",3,"Spring",3,15,2.05602494471437,1,5,991,1.45912626581326,21,NA,"Arthropoda","Copepoda","Cyclopoida",NA,"Acanthocyclops","vernalis","adult",TRUE,"Copepoda","Acanthocyclops"
